participant_id,block_position,violation_type,rep_level,expected_side,preview_first
64,1,support,2,R,unexpected
64,2,goal,2,R,unexpected
64,3,solidity,4,L,expected
64,4,efficiency,4,L,expected
65,1,support,2,L,expected
65,2,goal,4,L,expected
65,3,solidity,2,R,unexpected
65,4,efficiency,4,R,unexpected
66,1,efficiency,2,R,unexpected
66,2,solidity,4,L,expected
66,3,goal,4,L,expected
66,4,support,2,R,unexpected
67,1,solidity,4,L,expected
67,2,support,2,L,expected
67,3,efficiency,4,R,unexpected
67,4,goal,2,R,unexpected
68,1,goal,4,L,expected
68,2,efficiency,2,L,expected
68,3,support,4,R,unexpected
68,4,solidity,2,R,unexpected
69,1,efficiency,2,R,unexpected
69,2,solidity,4,R,unexpected
69,3,goal,4,L,expected
69,4,support,2,L,expected
70,1,solidity,4,R,unexpected
70,2,support,4,L,expected
70,3,efficiency,2,L,expected
70,4,goal,2,R,unexpected
71,1,support,2,R,unexpected
71,2,goal,4,R,unexpected
71,3,solidity,2,L,expected
71,4,efficiency,4,L,expected
72,1,goal,2,L,expected
72,2,efficiency,4,R,unexpected
72,3,support,4,R,unexpected
72,4,solidity,2,L,expected
73,1,efficiency,4,R,unexpected
73,2,solidity,2,R,unexpected
73,3,goal,2,L,expected
73,4,support,4,L,expected
74,1,support,4,L,expected
74,2,goal,4,R,unexpected
74,3,solidity,2,L,expected
74,4,efficiency,2,R,unexpected
75,1,solidity,4,R,unexpected
75,2,support,2,R,unexpected
75,3,efficiency,2,L,expected
75,4,goal,4,L,expected
76,1,goal,2,R,unexpected
76,2,efficiency,2,L,expected
76,3,support,4,R,unexpected
76,4,solidity,4,L,expected
77,1,support,2,R,unexpected
77,2,goal,2,L,expected
77,3,solidity,4,L,expected
77,4,efficiency,4,R,unexpected
78,1,efficiency,4,L,expected
78,2,solidity,2,R,unexpected
78,3,goal,4,R,unexpected
78,4,support,2,L,expected
79,1,goal,2,L,expected
79,2,efficiency,4,L,expected
79,3,support,2,R,unexpected
79,4,solidity,4,R,unexpected
80,1,solidity,4,L,expected
80,2,support,4,R,unexpected
80,3,efficiency,2,R,unexpected
80,4,goal,2,L,expected
81,1,efficiency,4,R,unexpected
81,2,solidity,2,L,expected
81,3,goal,4,R,unexpected
81,4,support,2,L,expected
82,1,support,2,L,expected
82,2,goal,4,R,unexpected
82,3,solidity,4,R,unexpected
82,4,efficiency,2,L,expected
83,1,solidity,2,L,expected
83,2,support,4,R,unexpected
83,3,efficiency,4,L,expected
83,4,goal,2,R,unexpected
84,1,goal,4,L,expected
84,2,efficiency,2,R,unexpected
84,3,support,4,L,expected
84,4,solidity,2,R,unexpected
85,1,goal,2,R,unexpected
85,2,efficiency,4,R,unexpected
85,3,support,4,L,expected
85,4,solidity,2,L,expected
86,1,efficiency,4,R,unexpected
86,2,solidity,2,R,unexpected
86,3,goal,4,L,expected
86,4,support,2,L,expected
87,1,solidity,4,R,unexpected
87,2,support,2,R,unexpected
87,3,efficiency,2,L,expected
87,4,goal,4,L,expected
88,1,support,2,R,unexpected
88,2,goal,2,R,unexpected
88,3,solidity,4,L,expected
88,4,efficiency,4,L,expected
89,1,support,4,L,expected
89,2,goal,4,R,unexpected
89,3,solidity,2,R,unexpected
89,4,efficiency,2,L,expected
90,1,efficiency,2,R,unexpected
90,2,solidity,4,L,expected
90,3,goal,2,L,expected
90,4,support,4,R,unexpected
91,1,goal,2,R,unexpected
91,2,efficiency,4,R,unexpected
91,3,support,4,L,expected
91,4,solidity,2,L,expected
92,1,solidity,4,R,unexpected
92,2,support,2,L,expected
92,3,efficiency,4,R,unexpected
92,4,goal,2,L,expected
93,1,support,4,R,unexpected
93,2,goal,4,L,expected
93,3,solidity,2,L,expected
93,4,efficiency,2,R,unexpected
94,1,goal,2,R,unexpected
94,2,efficiency,2,L,expected
94,3,support,4,R,unexpected
94,4,solidity,4,L,expected
95,1,solidity,2,R,unexpected
95,2,support,2,L,expected
95,3,efficiency,4,L,expected
95,4,goal,4,R,unexpected
96,1,efficiency,2,L,expected
96,2,solidity,4,R,unexpected
96,3,goal,4,L,expected
96,4,support,2,R,unexpected
97,1,goal,2,L,expected
97,2,efficiency,4,R,unexpected
97,3,support,4,L,expected
97,4,solidity,2,R,unexpected
98,1,support,2,R,unexpected
98,2,goal,4,L,expected
98,3,solidity,4,R,unexpected
98,4,efficiency,2,L,expected
99,1,efficiency,4,L,expected
99,2,solidity,4,L,expected
99,3,goal,2,R,unexpected
99,4,support,2,R,unexpected
100,1,solidity,4,R,unexpected
100,2,support,4,L,expected
100,3,efficiency,2,L,expected
100,4,goal,2,R,unexpected
101,1,support,2,L,expected
101,2,goal,4,R,unexpected
101,3,solidity,2,L,expected
101,4,efficiency,4,R,unexpected
102,1,goal,4,L,expected
102,2,efficiency,2,R,unexpected
102,3,support,4,R,unexpected
102,4,solidity,2,L,expected
103,1,efficiency,4,R,unexpected
103,2,solidity,4,L,expected
103,3,goal,2,R,unexpected
103,4,support,2,L,expected
104,1,solidity,2,R,unexpected
104,2,support,4,L,expected
104,3,efficiency,4,R,unexpected
104,4,goal,2,L,expected
105,1,support,4,R,unexpected
105,2,goal,4,L,expected
105,3,solidity,2,L,expected
105,4,efficiency,2,R,unexpected
106,1,solidity,2,R,unexpected
106,2,support,2,L,expected
106,3,efficiency,4,L,expected
106,4,goal,4,R,unexpected
107,1,efficiency,2,L,expected
107,2,solidity,4,R,unexpected
107,3,goal,2,L,expected
107,4,support,4,R,unexpected
108,1,goal,4,R,unexpected
108,2,efficiency,2,L,expected
108,3,support,2,R,unexpected
108,4,solidity,4,L,expected
109,1,goal,2,R,unexpected
109,2,efficiency,4,R,unexpected
109,3,support,4,L,expected
109,4,solidity,2,L,expected
110,1,support,2,R,unexpected
110,2,goal,4,L,expected
110,3,solidity,4,L,expected
110,4,efficiency,2,R,unexpected
111,1,solidity,4,R,unexpected
111,2,support,4,L,expected
111,3,efficiency,2,R,unexpected
111,4,goal,2,L,expected
112,1,efficiency,4,L,expected
112,2,solidity,4,R,unexpected
112,3,goal,2,R,unexpected
112,4,support,2,L,expected
113,1,solidity,2,L,expected
113,2,support,4,R,unexpected
113,3,efficiency,2,L,expected
113,4,goal,4,R,unexpected
114,1,efficiency,4,L,expected
114,2,solidity,2,R,unexpected
114,3,goal,4,L,expected
114,4,support,2,R,unexpected
115,1,goal,4,R,unexpected
115,2,efficiency,2,L,expected
115,3,support,2,R,unexpected
115,4,solidity,4,L,expected
116,1,support,2,L,expected
116,2,goal,2,L,expected
116,3,solidity,4,R,unexpected
116,4,efficiency,4,R,unexpected
117,1,efficiency,2,R,unexpected
117,2,solidity,2,L,expected
117,3,goal,4,L,expected
117,4,support,4,R,unexpected
118,1,solidity,4,R,unexpected
118,2,support,4,L,expected
118,3,efficiency,2,L,expected
118,4,goal,2,R,unexpected
119,1,support,4,R,unexpected
119,2,goal,2,L,expected
119,3,solidity,2,R,unexpected
119,4,efficiency,4,L,expected
120,1,goal,4,R,unexpected
120,2,efficiency,4,R,unexpected
120,3,support,2,L,expected
120,4,solidity,2,L,expected
121,1,goal,2,L,expected
121,2,efficiency,4,R,unexpected
121,3,support,2,R,unexpected
121,4,solidity,4,L,expected
122,1,support,4,L,expected
122,2,goal,4,L,expected
122,3,solidity,2,R,unexpected
122,4,efficiency,2,R,unexpected
123,1,efficiency,4,R,unexpected
123,2,solidity,2,L,expected
123,3,goal,2,R,unexpected
123,4,support,4,L,expected
124,1,solidity,2,R,unexpected
124,2,support,2,R,unexpected
124,3,efficiency,4,L,expected
124,4,goal,4,L,expected
125,1,efficiency,2,L,expected
125,2,solidity,4,L,expected
125,3,goal,2,R,unexpected
125,4,support,4,R,unexpected
126,1,solidity,4,R,unexpected
126,2,support,2,L,expected
126,3,efficiency,2,L,expected
126,4,goal,4,R,unexpected
127,1,support,2,L,expected
127,2,goal,4,R,unexpected
127,3,solidity,4,R,unexpected
127,4,efficiency,2,L,expected
128,1,goal,2,L,expected
128,2,efficiency,2,R,unexpected
128,3,support,4,L,expected
128,4,solidity,4,R,unexpected
129,1,efficiency,4,R,unexpected
129,2,solidity,2,L,expected
129,3,goal,4,L,expected
129,4,support,2,R,unexpected
130,1,goal,4,L,expected
130,2,efficiency,2,L,expected
130,3,support,4,R,unexpected
130,4,solidity,2,R,unexpected
131,1,solidity,4,L,expected
131,2,support,2,R,unexpected
131,3,efficiency,4,L,expected
131,4,goal,2,R,unexpected
132,1,support,4,L,expected
132,2,goal,2,R,unexpected
132,3,solidity,2,L,expected
132,4,efficiency,4,R,unexpected
133,1,support,2,L,expected
133,2,goal,4,L,expected
133,3,solidity,2,R,unexpected
133,4,efficiency,4,R,unexpected
134,1,solidity,4,L,expected
134,2,support,2,R,unexpected
134,3,efficiency,4,L,expected
134,4,goal,2,R,unexpected
135,1,efficiency,2,L,expected
135,2,solidity,2,R,unexpected
135,3,goal,4,R,unexpected
135,4,support,4,L,expected
136,1,goal,2,R,unexpected
136,2,efficiency,4,R,unexpected
136,3,support,4,L,expected
136,4,solidity,2,L,expected
137,1,efficiency,2,L,expected
137,2,solidity,4,R,unexpected
137,3,goal,4,L,expected
137,4,support,2,R,unexpected
138,1,goal,2,L,expected
138,2,efficiency,2,R,unexpected
138,3,support,4,R,unexpected
138,4,solidity,4,L,expected
139,1,support,4,L,expected
139,2,goal,2,R,unexpected
139,3,solidity,2,R,unexpected
139,4,efficiency,4,L,expected
140,1,solidity,4,L,expected
140,2,support,4,L,expected
140,3,efficiency,2,R,unexpected
140,4,goal,2,R,unexpected
141,1,goal,4,R,unexpected
141,2,efficiency,2,L,expected
141,3,support,4,R,unexpected
141,4,solidity,2,L,expected
142,1,efficiency,4,R,unexpected
142,2,solidity,4,R,unexpected
142,3,goal,2,L,expected
142,4,support,2,L,expected
143,1,solidity,2,L,expected
143,2,support,2,R,unexpected
143,3,efficiency,4,R,unexpected
143,4,goal,4,L,expected
144,1,support,2,R,unexpected
144,2,goal,4,L,expected
144,3,solidity,4,R,unexpected
144,4,efficiency,2,L,expected
145,1,support,2,L,expected
145,2,goal,4,R,unexpected
145,3,solidity,2,L,expected
145,4,efficiency,4,R,unexpected
146,1,solidity,4,R,unexpected
146,2,support,2,R,unexpected
146,3,efficiency,4,L,expected
146,4,goal,2,L,expected
147,1,goal,4,L,expected
147,2,efficiency,2,R,unexpected
147,3,support,2,L,expected
147,4,solidity,4,R,unexpected
148,1,efficiency,2,L,expected
148,2,solidity,2,R,unexpected
148,3,goal,4,R,unexpected
148,4,support,4,L,expected
149,1,efficiency,4,L,expected
149,2,solidity,2,L,expected
149,3,goal,2,R,unexpected
149,4,support,4,R,unexpected
150,1,support,4,R,unexpected
150,2,goal,2,L,expected
150,3,solidity,4,L,expected
150,4,efficiency,2,R,unexpected
