participant_id,block_position,violation_type,rep_level,expected_side,preview_first
99,2,support,2,L,expected
99,3,goal,4,R,unexpected
99,4,efficiency,4,R,unexpected
100,1,goal,2,L,expected
100,2,efficiency,4,R,unexpected
100,3,solidity,2,R,unexpected
100,4,support,4,L,expected
101,1,solidity,4,R,unexpected
101,2,support,4,R,unexpected
101,3,goal,2,L,expected
101,4,efficiency,2,L,expected
102,1,solidity,2,L,expected
102,2,support,4,R,unexpected
102,3,goal,2,L,expected
102,4,efficiency,4,R,unexpected
103,1,goal,2,L,expected
103,2,efficiency,2,R,unexpected
103,3,solidity,4,L,expected
103,4,support,4,R,unexpected
104,1,efficiency,4,R,unexpected
104,2,solidity,4,L,expected
104,3,support,2,L,expected
104,4,goal,2,R,unexpected
105,1,efficiency,2,L,expected
105,2,solidity,2,R,unexpected
105,3,support,4,R,unexpected
105,4,goal,4,L,expected
106,1,goal,4,R,unexpected
106,2,efficiency,2,R,unexpected
106,3,solidity,4,L,expected
106,4,support,2,L,expected
107,1,efficiency,2,R,unexpected
107,2,solidity,4,L,expected
107,3,support,2,R,unexpected
107,4,goal,4,L,expected
108,1,efficiency,4,L,expected
108,2,solidity,2,R,unexpected
108,3,support,4,L,expected
108,4,goal,2,R,unexpected
109,1,support,4,L,expected
109,2,goal,2,R,unexpected
109,3,efficiency,2,R,unexpected
109,4,solidity,4,L,expected
110,1,solidity,4,R,unexpected
110,2,support,2,L,expected
110,3,goal,2,L,expected
110,4,efficiency,4,R,unexpected
111,1,solidity,2,L,expected
111,2,support,4,R,unexpected
111,3,goal,4,R,unexpected
111,4,efficiency,2,L,expected
112,1,support,4,L,expected
112,2,goal,4,L,expected
112,3,efficiency,2,R,unexpected
112,4,solidity,2,R,unexpected
113,1,solidity,4,R,unexpected
113,2,support,2,L,expected
113,3,goal,4,R,unexpected
113,4,efficiency,2,L,expected
114,1,goal,4,R,unexpected
114,2,efficiency,2,L,expected
114,3,solidity,2,R,unexpected
114,4,support,4,L,expected
115,1,goal,4,R,unexpected
115,2,efficiency,4,L,expected
115,3,solidity,2,L,expected
115,4,support,2,R,unexpected
116,1,goal,2,L,expected
116,2,efficiency,4,L,expected
116,3,solidity,4,R,unexpected
116,4,support,2,R,unexpected
117,1,efficiency,2,L,expected
117,2,solidity,4,L,expected
117,3,support,4,R,unexpected
117,4,goal,2,R,unexpected
118,1,support,2,R,unexpected
118,2,goal,4,L,expected
118,3,efficiency,2,L,expected
118,4,solidity,4,R,unexpected
119,1,efficiency,4,R,unexpected
119,2,solidity,2,R,unexpected
119,3,support,2,L,expected
119,4,goal,4,L,expected
120,1,support,2,R,unexpected
120,2,goal,4,L,expected
120,3,efficiency,4,R,unexpected
120,4,solidity,2,L,expected
121,1,efficiency,2,L,expected
121,2,solidity,4,L,expected
121,3,support,4,R,unexpected
121,4,goal,2,R,unexpected
122,1,support,4,R,unexpected
122,2,goal,2,R,unexpected
122,3,efficiency,4,L,expected
122,4,solidity,2,L,expected
123,1,support,2,L,expected
123,2,goal,2,R,unexpected
123,3,efficiency,4,L,expected
123,4,solidity,4,R,unexpected
124,1,support,4,L,expected
124,2,goal,2,R,unexpected
124,3,efficiency,2,R,unexpected
124,4,solidity,4,L,expected
125,1,efficiency,4,R,unexpected
125,2,solidity,2,R,unexpected
125,3,support,2,L,expected
125,4,goal,4,L,expected
126,1,efficiency,4,R,unexpected
126,2,solidity,4,L,expected
126,3,support,2,L,expected
126,4,goal,2,R,unexpected
127,1,support,2,R,unexpected
127,2,goal,4,L,expected
127,3,efficiency,4,R,unexpected
127,4,solidity,2,L,expected
128,1,efficiency,4,L,expected
128,2,solidity,2,R,unexpected
128,3,support,4,L,expected
128,4,goal,2,R,unexpected
129,1,goal,4,R,unexpected
129,2,efficiency,2,R,unexpected
129,3,solidity,4,L,expected
129,4,support,2,L,expected
130,1,solidity,2,L,expected
130,2,support,4,R,unexpected
130,3,goal,2,L,expected
130,4,efficiency,4,R,unexpected
131,1,support,2,R,unexpected
131,2,goal,4,L,expected
131,3,efficiency,2,L,expected
131,4,solidity,4,R,unexpected
132,1,solidity,2,L,expected
132,2,support,2,L,expected
132,3,goal,4,R,unexpected
132,4,efficiency,4,R,unexpected
133,1,goal,2,L,expected
133,2,efficiency,4,L,expected
133,3,solidity,4,R,unexpected
133,4,support,2,R,unexpected
134,1,efficiency,2,R,unexpected
134,2,solidity,4,L,expected
134,3,support,2,R,unexpected
134,4,goal,4,L,expected
135,1,support,4,L,expected
135,2,goal,4,L,expected
135,3,efficiency,2,R,unexpected
135,4,solidity,2,R,unexpected
136,1,goal,4,R,unexpected
136,2,efficiency,2,L,expected
136,3,solidity,2,R,unexpected
136,4,support,4,L,expected
137,1,goal,2,L,expected
137,2,efficiency,2,R,unexpected
137,3,solidity,4,L,expected
137,4,support,4,R,unexpected
138,1,goal,4,R,unexpected
138,2,efficiency,4,L,expected
138,3,solidity,2,L,expected
138,4,support,2,R,unexpected
139,1,solidity,2,L,expected
139,2,support,4,R,unexpected
139,3,goal,4,R,unexpected
139,4,efficiency,2,L,expected
140,1,goal,2,L,expected
140,2,efficiency,4,R,unexpected
140,3,solidity,2,R,unexpected
140,4,support,4,L,expected
141,1,solidity,4,R,unexpected
141,2,support,4,R,unexpected
141,3,goal,2,L,expected
141,4,efficiency,2,L,expected
142,1,efficiency,2,L,expected
142,2,solidity,2,R,unexpected
142,3,support,4,R,unexpected
142,4,goal,4,L,expected
143,1,solidity,4,R,unexpected
143,2,support,2,L,expected
143,3,goal,4,R,unexpected
143,4,efficiency,2,L,expected
144,1,solidity,4,R,unexpected
144,2,support,2,L,expected
144,3,goal,2,L,expected
144,4,efficiency,4,R,unexpected
145,1,efficiency,2,R,unexpected
145,2,solidity,4,L,expected
145,3,support,2,R,unexpected
145,4,goal,4,L,expected
146,1,goal,4,R,unexpected
146,2,efficiency,4,L,expected
146,3,solidity,2,L,expected
146,4,support,2,R,unexpected
147,1,solidity,2,L,expected
147,2,support,4,R,unexpected
147,3,goal,2,L,expected
147,4,efficiency,4,R,unexpected
148,1,support,4,R,unexpected
148,2,goal,2,R,unexpected
148,3,efficiency,4,L,expected
148,4,solidity,2,L,expected
149,1,efficiency,4,R,unexpected
149,2,solidity,4,L,expected
149,3,support,2,L,expected
149,4,goal,2,R,unexpected
150,1,support,2,R,unexpected
150,2,goal,4,L,expected
150,3,efficiency,4,R,unexpected
150,4,solidity,2,L,expected
